status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
123573591023105_945986022115187,,‘Agenda of Alliance’ that was not to be!,link,http://www.risingkashmir.com/news/agenda-of-alliance-that-was-not-to-be/,1/31/2016 13:57,5,0,0
123573591023105_945985912115198,,DeM in NIA ‘terror’ list; Asiya fumes,link,http://www.risingkashmir.com/news/dem-in-nia-terror-list-asiya-fumes/,1/31/2016 13:56,8,1,1
123573591023105_945985302115259,,KTMF calls for Kashmir Bandh on Tuesday,link,http://www.risingkashmir.com/news/ktmf-calls-for-kashmir-bandh-on-tuesday/,1/31/2016 13:54,23,1,8
123573591023105_945984602115329,,PDP’s delay in forming govt won’t change Modi: Farooq,link,http://www.risingkashmir.com/news/pdps-delay-in-forming-govt-wont-change-modi-farooq/,1/31/2016 13:53,11,1,0
123573591023105_945984142115375,,Acid attack victim undergoes another major surgery in Chennai,link,http://www.risingkashmir.com/news/acid-attack-victim-undergoes-another-major-surgery-in-chennai/,1/31/2016 13:51,16,0,3
123573591023105_945983125448810,,Nadru may not grow in Dal Lake for years: Growers,link,http://www.risingkashmir.com/news/nadru-may-not-grow-in-dal-lake-for-years-growers/,1/31/2016 13:47,51,3,5
123573591023105_945978282115961,,Patients suffer as senior medicos go on vacation,link,http://www.risingkashmir.com/news/patients-suffer-as-senior-medicos-go-on-vacation/,1/31/2016 13:32,18,0,1
123573591023105_945976315449491,Point-Blank,Timeline Photos,photo,https://www.facebook.com/dailyrisingkashmir/photos/a.518745964839197.1073741829.123573591023105/945976315449491/?type=3,1/31/2016 13:27,38,2,5
123573591023105_945976252116164,,Construction of bunkers along IB in full swing: Jitendra,link,http://www.risingkashmir.com/news/construction-of-bunkers-along-ib-in-full-swing-jitendra/,1/31/2016 13:27,13,0,0
123573591023105_945975868782869,,Need another admission from India,link,http://www.risingkashmir.com/news/need-another-admission-from-india/,1/31/2016 13:26,7,0,0
123573591023105_945975582116231,,NFSA and state’s willingness,link,http://www.risingkashmir.com/news/nfsa-and-states-willingness/,1/31/2016 13:25,11,0,0
123573591023105_945975188782937,,Kashmiris arrested,link,http://www.risingkashmir.com/news/kashmiris-arrested/,1/31/2016 13:24,12,0,1
123573591023105_945972738783182,,"J&K being promoted as major MICE, Golf tourism destination",link,http://www.risingkashmir.com/news/jk-being-promoted-as-major-mice-golf-tourism-destination/,1/31/2016 13:18,26,0,2
