,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
0,0,704538.4574305556,53.559,171.972,20.0,7.8,mw,,,,,iscgem,iscgem908419,735731.7865972222,"Near Islands, Aleutian Islands, Alaska",earthquake
1,1,704530.2847106481,4.203,94.528,25.0,6.7,mw,,,,,iscgem,iscgem908409,735731.7865972222,off the west coast of northern Sumatra,earthquake
2,2,704527.8480555556,-55.112,-29.142,15.0,6.5,mw,,,,,iscgem,iscgem908406,735731.7865972222,South Sandwich Islands region,earthquake
3,3,704527.6991666667,-54.072,-28.239,15.0,6.6,mw,,,,,iscgem,iscgem908405,735731.7865972222,South Sandwich Islands region,earthquake
4,4,704514.0012847222,-4.539,137.196,35.0,6.8,mw,,,,,iscgem,iscgem908400,735731.7865972222,"Papua, Indonesia",earthquake
5,5,704509.8555555556,44.421,-56.016,10.0,7.2,mw,,,,,iscgem,iscgem908394,735731.7865972222,North Atlantic Ocean,earthquake
6,6,704508.1550694444,6.484,126.301,35.0,7.0,mw,,,,,iscgem,iscgem908392,735731.7865972222,"Mindanao, Philippines",earthquake
7,7,704506.7850462963,7.542,142.734,10.0,7.1,mw,,,,,iscgem,iscgem908389,735731.7865972222,"State of Yap, Federated States of Micronesia",earthquake
8,8,704496.4848842593,8.653,126.401,35.0,6.2,mw,,,,,iscgem,iscgem908379,735731.7865972222,"Mindanao, Philippines",earthquake
9,9,704479.425625,-22.751,-68.403,65.0,6.8,mw,,,,,iscgem,iscgem908354,735731.7865972222,"Antofagasta, Chile",earthquake
10,10,704476.852511574,25.924,98.053,15.0,6.3,mw,,,,,iscgem,iscgem908352,735731.7865972222,Myanmar-China border region,earthquake
11,11,704468.7194675925,-27.13,-176.848,35.0,6.5,mw,,,,,iscgem,iscgem908338,735731.7865972222,Kermadec Islands region,earthquake
12,12,704466.3274884259,19.838,-155.641,10.0,6.4,mw,,,,,iscgem,iscgem908335,735731.7865972222,"Hawaii region, Hawaii",earthquake
13,13,704465.7083217592,53.23,159.817,50.0,6.3,mw,,,,,iscgem,iscgem908332,735731.7865972222,"near the east coast of the Kamchatka Peninsula, Russia",earthquake
14,14,704447.8039583333,50.989,-130.305,15.0,6.4,mw,,,,,iscgem,iscgem908314,735731.7865972222,"Vancouver Island, Canada region",earthquake
15,15,704427.7858680555,40.201,143.754,15.0,6.4,mw,,,,,iscgem,iscgem908286,735731.7865972222,"off the east coast of Honshu, Japan",earthquake
16,16,704418.1132986111,23.974,122.187,35.0,6.5,mw,,,,,iscgem,iscgem908274,735731.7865972222,Taiwan region,earthquake
17,17,704414.8308680556,5.083,-82.475,15.0,6.2,mw,,,,,iscgem,iscgem908266,735731.7865972222,south of Panama,earthquake
18,18,704407.5397916667,19.317,95.838,15.0,6.6,mw,,,,,iscgem,iscgem908257,735731.7865972222,Myanmar,earthquake
19,19,704391.7800231482,64.1,-21.865,10.0,6.2,mw,,,,,iscgem,iscgem908228,735731.7865972222,Iceland,earthquake
20,20,704375.8911689814,51.474,-177.771,35.0,7.3,mw,,,,,iscgem,iscgem908198,735731.7865972222,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
21,21,704374.4071643519,14.152,-45.91,10.0,6.4,mw,,,,,iscgem,iscgem908194,735731.7865972222,northern Mid-Atlantic Ridge,earthquake
22,22,704373.9419097222,51.173,-177.066,25.0,6.5,mw,,,,,iscgem,iscgem908191,735731.7865972222,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
23,23,704373.5966319444,51.473,-178.152,35.0,7.0,mw,,,,,iscgem,iscgem908189,735731.7865972222,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
24,24,704372.1865740741,64.355,-147.852,20.0,6.5,mw,,,,,iscgem,iscgem908184,735731.7865972222,Central Alaska,earthquake
25,25,704368.1145023148,8.809,126.898,30.0,6.5,mw,,,,,iscgem,iscgem908176,735731.7865972222,"Mindanao, Philippines",earthquake
